id,contract_reference,area,scenario,starting_state,user_actions,expected_visible_behavior,expected_backend_behavior,recovery_expectation,evidence_source,status,severity_if_failed,automated_regression,execution_class,phase_24_defer_note,bug_id,source_sha,deployed_sha,fixture_version,account_alias,timezone,device_runtime_viewport,observed_result,last_executed_at
SIM-SETUP-001,simulator-evidence,Simulator,install and accessibility harness,fresh iOS 27 simulator booted with host disk remediated,boot install launch snapshot UI,installed development client reaches an observable UI and accessibility hierarchy,valid app bundle installs and launches without inferred product state,resolve Metro system confirmation or use verified standalone bundle,simctl/XcodeBuildMCP diagnostics plus native build output,PASS-SIMULATOR,P0,native build checkpoint,simulator,product-flow UAT remains limited on the fresh device; clean signed-out UI is evidenced on the non-QA iPhone 17 Pro Max,,e5038ac0eec1d16e88b293d95d6509f5d88c6343,,none,,,iPhone 17 iOS 27 simulator,Fresh Xcode-beta incremental build succeeded; the exact candidate installed and launched on the QA simulator and a fresh authenticated QA A route was observed after local API recovery. This setup row does not substitute for the remaining product-flow gates.,2026-09-12
AUTH-001,auth-ownership,Auth,signed-out cold launch,no authenticated session,launch app and cold-relaunch through the supported dev-client initialUrl path,bootstrap reaches the signed-out Welcome back screen without a loop,no authenticated state created,relaunch again reaches signed-out controls,Simulator XcodeBuildMCP snapshots plus UI observation,PASS-SIMULATOR,P0,auth-bootstrap tests plus UAT,simulator,no QA credentials used; authenticated rows are covered separately with dedicated QA identities,,,,,,,,Real Simulator launch and required signed-out UI interaction passed.,
AUTH-005,auth-ownership,Auth,password reset navigation,signed-out sign-in screen,select Forgot password then Back to sign in,reset screen exposes email and Send reset link; back returns to sign-in,no account mutation occurs,back path remains reachable without credentials,Simulator host-window screenshots plus XcodeBuildMCP snapshots,PASS-SIMULATOR,P1,auth UI tests,simulator,no reset request was submitted,,,,,,,,Real Simulator launch and required signed-out UI interaction passed.,
AUTH-006,auth-ownership,Auth,sign-up empty-form recovery,signed-out sign-in screen,open Create account then submit the empty form,account form opens and required name email and password validation appears while the form remains usable,no account is created,back/cancel remains available without credentials,Simulator host-window screenshots plus XcodeBuildMCP snapshots,PASS-SIMULATOR,P1,auth UI tests,simulator,no account was created or authenticated,,,,,,,,Real Simulator launch and required signed-out UI interaction passed.,
AUTH-007,auth-ownership,Auth,password-reset empty-form recovery,signed-out reset screen,submit the empty reset form,required email validation appears and the reset screen remains usable,no reset request or account mutation occurs,back to sign-in remains available,Simulator host-window screenshot plus XcodeBuildMCP snapshot,PASS-SIMULATOR,P1,auth UI tests,simulator,no reset request was submitted,,,,,,,,Real Simulator launch and required signed-out UI interaction passed.,
AUTH-008,auth-ownership,Auth,sign-in empty-form recovery,signed-out sign-in screen,submit the empty sign-in form,required email and password validation appears and sign-in remains usable,no authentication or account mutation occurs,forgot-password and create-account routes remain reachable,Simulator host-window screenshot plus XcodeBuildMCP snapshot,PASS-SIMULATOR,P1,auth UI tests,simulator,no credentials were submitted,,,,,,,,Real Simulator launch and required signed-out UI interaction passed.,
AUTH-009,auth-ownership,Auth,unauthenticated protected API,verified staging deployment without a bearer token,request setup status directly,API returns structured 401 AUTHORIZATION_REQUIRED and no account data,client can remain signed out without a data leak,repeat after cold start if needed,staging HTTP evidence,PASS-STAGING-API,P0,auth middleware tests,API,does not replace authenticated QA A/B isolation journeys,,,,,,,,Verified staging API behavior passed without authenticated account data.,
AUTH-002,auth-ownership,Auth,authenticated relaunch,QA A signed in,terminate/relaunch app,authenticated home appears once,QA A data remains isolated,background/foreground recovers,Simulator UI/API,PASS-SIMULATOR,P0,auth bootstrap tests,simulator,,,,,,QA-A,America/Toronto,iPhone 17 iOS 27.0,"Fresh beta-built app was installed and launched; QA A signed in through the real Simulator UI, the authenticated Complex Progress screen appeared, the app was terminated/relaunched, and the authenticated home returned without a loop. The iOS Save Password prompt was dismissed without saving credentials. Repeated stop/launch on 2026-09-12 again returned directly to authenticated Progress with no bootstrap loop.",2026-09-12
AUTH-003,auth-ownership,Auth,sign-out then QA B switch,QA A data seeded,sign out sign in QA B,only QA B data appears,server ownership remains QA B,sign out/retry works,UI plus API owner IDs,PASS-SIMULATOR,P0,account isolation tests,simulator,,,,,,QA-A->QA-B,,,"QA A signed out in the Fresh QA Simulator, QA B authenticated through the real email/password form, and the home showed Complex Progress with 0 food entries and 0 logged days rather than QA A's recognizable data. QA B History showed no food entries and Insights showed 0 logged days; stopping/relaunching the app returned to authenticated QA B Complex Progress with 0 food entries and 0 logged days. Signing back into QA A restored its recognizable Friday History state (8 entries, 172 kcal, QA Archive Probe) without cross-account residue. API ownership probes independently returned 404 for QA A resource IDs under QA B. Password-save prompts were dismissed without saving credentials.",2026-09-12
AUTH-004,auth-ownership,Auth,disposable deletion,QA C explicitly disposable,delete with confirmation,completion and signed-out route,QA C owned data removed,invalid confirmation cannot delete,API account deletion and Firebase authorization coverage green; QA C authenticated in Simulator; reauthentication recovery and signed-out routing observed,PASS-SIMULATOR,P0,account deletion tests,simulator,,,,,,QA-C,,,"QA C profile `testacct4659` and previously verified Firebase UID were confirmed before the authorized destructive action; exact DELETE confirmation, current-password reauthentication, permanent deletion, and signed-out routing were observed. A/B and everyday accounts were untouched.",2026-09-12
